 Name,Description,Temperament,Image,Price,Hypoallergenic
Australian Shepherd,"This is an athletic dog of medium size and bone; it is lithe, agile and slightly longer than it is tall. It is muscular and powerful enough to work all day, without sacrificing the speed and agility necessary to cope with bolting livestock. Its gait is free and easy, and it must be able to change direction or speed instantly. Its double coat is weather resistant, with the outer coat of medium texture and length, straight to wavy. The expression is keen, intelligent and eager.","The Australian shepherd has a great deal of stamina and is loving, bold, alert, confident, independent, smart and responsive. If it doesn't get a chance to exercise and challenge its strongly developed mental and physical activities, it is apt to become frustrated and difficult to live with. With proper exercise and training, it is a loyal, utterly devoted and obedient companion. It is reserved with strangers and has a protective nature. It may try to herd children and small animals by nipping.",https://www.dogbreedslist.info/uploads/dog-pictures/australian-shepherd-2.jpg,Average $1000 - $2000 USD,Hypoallergenic: No
American Cocker Spaniel,"The smallest member of the sporting group, the American Cocker Spaniel should be compact and sturdy. Its gait is ground-covering, strong and effortless. The coat is silky, flat or slightly wavy, not overly long. Excessive coat can hinder the dog in the field. The head and expression are hallmarks of the breed; the expression is soft and appealing. Though seldom used for its original purpose, the cocker should still be able to spend a day in the field and should be balanced and athletic. It is true, however, that most cockers now have too much coat for field work.","This breed is known as the ""merry"" cocker, and the name is most fitting. It is playful, cheerful, amiable, sweet, sensitive, willing to please and responsive to its family's wishes. It is not known for retaining its hunting instincts, but it is inquisitive and will appreciate a country outing. It is equally at home in the city and will happily walk on leash for its exercise needs. Some bark a lot; some are overly submissive.",https://www.dogbreedslist.info/uploads/dog-pictures/cocker-spaniel-2.jpg,Average $1000 - $2000 USD,Hypoallergenic: No
Akita,"This is a large and powerful breed, with much substance and heavy bone; it is slightly longer than tall. The Akita's build reflects its original job of hunting big game through deep snow and rugged terrain. Its double coat consists of a dense undercoat and a straight, harsh, outer coat — about 2 inches or less in length — standing off from the body. Such a combination provides ample insulation from water and weather. Its gait is brisk and powerful. The Akita is a versatile dog of large spitz type. It is able to perform as a hunting companion and protector.","As befitting its spitz-like heritage, the Akita is bold, independent, stubborn and tenacious. Demonstrative to its family, it is utterly devoted and will protect family members. It is reserved with strangers and can be aggressive toward other dogs. It can be domineering. Though not the breed for everyone, in the right hands the Akita is an excellent companion.",https://www.dogbreedslist.info/uploads/dog-pictures/american-akita-2.jpg,Average $1000 - $2500 USD,Hypoallergenic: No
Australian Cattle Dog,"The Australian Cattle Dog is of moderate build, enabling it to combine great endurance with bursts of speed and the extreme agility necessary in controlling unruly cattle. It is sturdy and compact, slightly longer than it is tall. Its gait is supple and tireless, and it must be capable of quick and sudden movement. Its ability to stop quickly is aided by the rudderlike action of its tail (which is never docked). Its weather-resistant coat consists of a short, dense undercoat and moderately short, straight outer coat of medium texture.","Smart, hardy, independent, stubborn, tenacious, energetic and untiring — these are all traits essential to a driver of headstrong cattle, and all traits of the Australian cattle dog. This dog must have a job to do or it will expend its efforts on unacceptable jobs of its own. Given challenging mental and hard physical exercise daily, it is among the most responsive and obedient of dogs, an exemplary partner in adventure. It tends to nip at the heels of running children.",https://www.dogbreedslist.info/uploads/dog-pictures/australian-cattle-dog-2.jpg,Average $400 - $1000 USD,Hypoallergenic: No
Airedale Terrier,"The Airedale terrier is a neat, upstanding, long-legged terrier, not exaggerated in any way. It has strong round bone and combines strength and agility, enabling it to hunt tough game. Its jaws are strong and punishing. Its gait is free. The coat is hard, dense and wiry; it lies straight and close, with some hair crinkling or waving.","Among the most versatile of terriers, the Airedale is bold, playful and adventurous; it is a lively yet protective companion. It is intelligent, but often stubborn and headstrong. Some can be domineering, but most are biddable, reliable and responsive to their owner's wishes. It makes a good house dog as long as it gets daily mental and physical exercise. It likes to be the head dog and may not do well when another dog challenges that position, although they usually get along well with smaller dogs.",https://www.dogbreedslist.info/uploads/dog-pictures/airedale-terrier-2.jpg,Average $800 - $1500 USD,Hypoallergenic: Yes
Alaskan Malamute,"The Alaskan malamute is a powerfully built dog of Nordic breed type, developed to haul heavy loads rather than race. It is slightly longer than it is tall. It is heavy-boned and compact, designed for strength and endurance. Its gait is steady, balanced and tireless. Its coat is thick and double, with a coarse outer coat and dense, wooly, oily undercoat, providing the ultimate in insulation. Although its eyes have a ""wolf-like"" appearance, its expression is soft.","The Alaskan malamute is powerful, independent, strong-willed and fun-loving. Its idea of great fun is to pull a sled or cart, but it also loves to run and roam. It is family-oriented, and as long as it is given daily exercise, it is well-mannered in the home. Without proper exercise, it can become frustrated and destructive. It is friendly and sociable toward people, but it may be aggressive toward strange dogs, pets or livestock. Some can be domineering. It tends to dig and howl.",https://www.dogbreedslist.info/uploads/dog-pictures/alaskan-malamute-2.jpg,Average $1200 - $2000 USD,Hypoallergenic: No
American Staffordshire Terrier,"This stocky dog should be muscular, giving the impression not only of great strength for its size but also of grace and agility. Its gait is springy. Its low center of gravity helped it stay on its feet in a fight, and its nimbleness helped it avoid its opponent's teeth. Its own jaws are strong with great power. Its coat is short, close and glossy.","Typically docile and playful with its family, the American Staffordshire terrier is also generally friendly toward strangers as long as its owners are present. It is generally very good with children. It is a protective breed and can be aggressive toward other dogs — especially those that challenge it. It is stubborn, tenacious and fearless. For all of its tough persona, the most important thing in life to this breed is its owner's fond attention.",https://www.dogbreedslist.info/uploads/dog-pictures/american-staffordshire-terrier-2.jpg,Average $1500 - $2500 USD,Hypoallergenic: No
Anatolian Shepherd Dog,"The Anatolian Shepherd Dog is built tough to do a tough job. It is a large, powerful, rugged dog, having both great agility and endurance. It has good bone and a large head. Its gait is powerful, smooth and fluid. Its coat consists of a thick undercoat and an outer coat that ranges from short (about 1 inch) to rough (about 4 inches), slightly longer around the neck and mane. Its expression is intelligent, and the general impression it gives is one of a bold yet calm protector.","This is a serious dog, devoted to its family and its duty as family protector. At the same time, it is laid back-and easygoing, never on the lookout for trouble. It is suspicious of strangers and is territorial. It is good with children, but it may not be playful enough to satisfy children's desires. As a serious watchdog, it tends to bark a lot when its suspicions are aroused.",https://www.dogbreedslist.info/uploads/dog-pictures/anatolian-shepherd-dog-2.jpg,Average $800 - $1200 USD,Hypoallergenic: No
American Eskimo Dog,"The Eskie is built along classic Nordic lines, a form that has proved effective at pulling heavy loads through snow and ice. It is compactly built, slightly longer than tall. The stand-off, double coat resists soaking and provides insulation against the cold. The small thick ears are also cold-resistant. The breed's smaller size has moved it from the realm of sled dog, but it remains a sled dog in miniature. Its trot is agile and bold. The expression is keen and alert.","The American Eskimo is bright, eager to please, lively and fun-loving — in short, an enjoyable and generally obedient companion. True to its spitz heritage, it is independent and tenacious and loves to run, especially in cold weather. But it is among the most biddable of spitz breeds, and it is calm and well-mannered inside. It is good with children, other dogs, and pets and is generally outgoing to everyone.",https://www.dogbreedslist.info/uploads/dog-pictures/american-eskimo-dog-2.jpg,Average $1000 - $2000 USD,Hypoallergenic: No
Afghan Hound,"The Afghan is built along greyhound-like lines, enabling it to execute a double-suspension gallop and run-down fleet game. The comparatively short back and steep pelvis helped it to leap great heights and to turn almost in place, essential attributes for coursing in rocky mountainous terrain. The large feet gave it a better foothold and were more resistant to injury on rough ground. The silky coat protected the dog from cold nights at high altitudes. The Afghan appears dignified and aloof, with an exotic expression and proud carriage. This dog's gait shows great elasticity and spring; the Afghan moves with its head and tail high.","Despite its glamorous reputation, the Afghan hound is a hunter at heart, bred to chase down game over rugged terrain. While it maintains its regal bearings inside, it needs a daily chance to stretch its legs in a safe area. Its worst trait is a reluctance to come when called. It will chase small animals outside; inside, it will coexist peacefully. Though gentle with children, it may not be playful and interactive enough with them. Described by some as ""catlike,"" it is independent yet sensitive and not overly demonstrative. It is reserved with strangers; some can be timid. It has a gay, clownish side.",https://www.dogbreedslist.info/uploads/dog-pictures/afghan-hound-2.jpg,Average $2500 - $3500 USD,Hypoallergenic: Yes
